Fecha,Prediccion
2018-01-01,0.0
2018-01-02,279.74840935672506
2018-01-03,376.6808267016208
2018-01-04,788.9535702468637
2018-01-05,871.508246916993
2018-01-06,232.76433034472018
2018-01-07,5.266747916608799
2018-01-08,0.0
2018-01-09,756.2486114460887
2018-01-10,946.2118111810686
2018-01-11,944.5980469285621
2018-01-12,1109.830378244842
2018-01-13,296.7465604397851
2018-01-14,2.3892361715460644
2018-01-15,777.786219367237
2018-01-16,920.7496503757328
2018-01-17,986.2079058866226
2018-01-18,981.0548561059569
2018-01-19,1010.4174178936165
2018-01-20,286.34719866561096
2018-01-21,0.7289988477148297
2018-01-22,740.4618601980075
2018-01-23,948.0901717984767
2018-01-24,954.055213642781
2018-01-25,960.9369491432612
2018-01-26,984.7683929334571
2018-01-27,341.1583333333334
2018-01-28,0.4841861875940824
2018-01-29,1066.1017777777777
2018-01-30,1303.5560954415955
2018-01-31,1325.8357308802308
2018-02-01,926.4444834117712
2018-02-02,1014.5619172275664
2018-02-03,281.6415937250078
2018-02-04,0.626525097236577
2018-02-05,767.1069029184602
2018-02-06,931.3821727865368
2018-02-07,1103.241714548826
2018-02-08,1133.3826313417203
2018-02-09,1147.197997970934
2018-02-10,302.0280850573165
2018-02-11,0.8423776369185993
2018-02-12,783.5593714501816
2018-02-13,1011.7069223306237
2018-02-14,1121.942333352108
2018-02-15,1131.587627891536
2018-02-16,1135.4281118920308
2018-02-17,282.8939965128434
2018-02-18,1.017146112631506
2018-02-19,746.2188529259137
2018-02-20,952.7267933360043
2018-02-21,1093.5158106734664
2018-02-22,1126.1123245913186
2018-02-23,1139.499753154369
2018-02-24,257.0535640464021
2018-02-25,19.630632876676955
2018-02-26,872.1312444621009
2018-02-27,1067.3484848750024
2018-02-28,1405.5530587896244
2018-03-01,868.2575979195249
2018-03-02,979.869867662451
2018-03-03,246.7238545947531
2018-03-04,1.2326075807764185
2018-03-05,718.8979431730279
2018-03-06,905.4483363389947
2018-03-07,1097.4070004876419
2018-03-08,1131.820642592955
2018-03-09,1148.2151547730807
2018-03-10,295.557675007828
2018-03-11,0.4649778430830102
2018-03-12,788.3965297815898
2018-03-13,1012.7659206508678
2018-03-14,1123.9097267844938
2018-03-15,1129.9568807072926
2018-03-16,1133.0261602852986
2018-03-17,298.1628752710696
2018-03-18,1.4862816972098392
2018-03-19,0.0
2018-03-20,952.625659996237
2018-03-21,1093.1548651015335
2018-03-22,1122.0409478073495
2018-03-23,1133.3123832494227
2018-03-24,306.4382271831061
2018-03-25,2.2971879700369566
2018-03-26,824.5004025038395
2018-03-27,1075.4638460456054
2018-03-28,1412.5916361698917
2018-03-29,5.7
2018-03-30,2.8266666666666667
2018-03-31,651.7588888888889
2018-04-01,0.7020751537493516
2018-04-02,654.9756768871783
2018-04-03,724.5553508393757
2018-04-04,1040.3334877544312
2018-04-05,1087.5154241084042
2018-04-06,1113.0503508184795
2018-04-07,281.8432858171729
2018-04-08,1.910113007297456
2018-04-09,849.4952371292248
2018-04-10,1019.050171595158
2018-04-11,1133.6552899664944
2018-04-12,1145.696666133745
2018-04-13,1151.2502387569955
2018-04-14,319.8924252490867
2018-04-15,2.08847610112552
2018-04-16,839.0695774441136
2018-04-17,953.2565160940766
2018-04-18,1093.6722680023133
2018-04-19,1122.87373077129
2018-04-20,1127.5638070797345
2018-04-21,308.60750243901515
2018-04-22,1.7597023698210106
2018-04-23,783.8864703057092
2018-04-24,1034.576804195328
2018-04-25,1164.1346659457818
2018-04-26,1276.5098771614855
2018-04-27,1366.037641681807
2018-04-28,434.8713894993896
2018-04-29,6.010900673400674
2018-04-30,1221.187087301587
2018-05-01,2.76
2018-05-02,923.7308123360318
2018-05-03,1060.3538061805607
2018-05-04,1108.0098027355846
2018-05-05,301.944516717375
2018-05-06,1.3936037300101796
2018-05-07,854.4819592097967
2018-05-08,981.0182434577316
2018-05-09,1124.1921269368447
2018-05-10,1156.7791956616427
2018-05-11,1158.8704299063475
2018-05-12,293.3355028108105
2018-05-13,5.8867850253025855
2018-05-14,0.0
2018-05-15,914.7973343253359
2018-05-16,1089.3016825944062
2018-05-17,1127.1410883537476
2018-05-18,1136.942904485607
2018-05-19,288.7870939761004
2018-05-20,1.5362639709415709
2018-05-21,761.459185158345
2018-05-22,948.1410655420518
2018-05-23,1091.3858445715578
2018-05-24,1154.5818854367674
2018-05-25,1177.2934820706755
2018-05-26,312.46606061398643
2018-05-27,0.8298276668373443
2018-05-28,944.5939285148403
2018-05-29,1417.4521272697186
2018-05-30,1907.9418163307664
2018-05-31,1917.8476724196858
2018-06-01,737.4897142857143
2018-06-02,255.48162962962965
2018-06-03,1.0629556523281996
2018-06-04,1.6666666666666667
2018-06-05,972.8702757140414
2018-06-06,1493.3445767912178
2018-06-07,1334.582521605663
2018-06-08,1520.9356383845954
2018-06-09,257.0778735195622
2018-06-10,0.35428176790138577
2018-06-11,1.5666666666666667
2018-06-12,1299.6421899001323
2018-06-13,1524.0359199587065
2018-06-14,1535.633690257036
2018-06-15,1737.821000461517
2018-06-16,360.50437143895545
2018-06-17,1.7248081927144012
2018-06-18,1300.309590049677
2018-06-19,1617.078298509209
2018-06-20,1654.1094583455006
2018-06-21,1642.8638564754474
2018-06-22,1745.4186769886928
2018-06-23,745.4005671834625
2018-06-24,0.655200322215012
2018-06-25,1064.3560317460317
2018-06-26,1379.9637566137567
2018-06-27,1927.202144300144
2018-06-28,3175.9414141414145
2018-06-29,1460.6090000000002
2018-06-30,239.41333333333333
