Fecha,Unidades,NombreFeriado,EsFestivo,DiaSemana,DiaMes,Mes,Predicciones
2012-04-12,1456,,0,3,12,4,1148.7615089975516
2012-04-13,1369,,0,4,13,4,1152.6658259719889
2012-04-14,422,,0,5,14,4,311.1088655410675
2012-04-15,0,,0,6,15,4,5.346031129201869
2012-04-16,795,,0,0,16,4,789.4610409000545
2012-04-17,1067,,0,1,17,4,966.6619351261955
2012-04-18,1360,,0,2,18,4,1097.4668101625455
2012-04-19,1083,,0,3,19,4,1126.0462238253547
2012-04-20,1443,,0,4,20,4,1129.7037806113296
2012-04-21,310,,0,5,21,4,285.8185654954278
2012-04-22,0,,0,6,22,4,1.918203020123096
2012-04-23,965,,0,0,23,4,759.5882738471047
2012-04-24,1143,,0,1,24,4,993.5615790661838
2012-04-25,1361,,0,2,25,4,1152.5609053454712
2012-04-26,1264,,0,3,26,4,1237.1249579706553
2012-04-27,737,,0,4,27,4,1281.9179368653308
2012-04-28,515,,0,5,28,4,547.1692063492064
2012-04-29,34,,0,6,29,4,24.12206111111111
2012-04-30,1286,,0,0,30,4,1178.714603174603
2012-05-01,3,Día del trabajo,1,1,1,5,0.7066666666666667
2012-05-02,965,,0,2,2,5,911.0003644501868
2012-05-03,1228,,0,3,3,5,1028.3647234934533
2012-05-04,1349,,0,4,4,5,1093.8319866729375
2012-05-05,375,,0,5,5,5,303.08962686370234
2012-05-06,0,,0,6,6,5,1.0502577745570478
2012-05-07,985,,0,0,7,5,852.088381172137
2012-05-08,1353,,0,1,8,5,1010.8830728013198
2012-05-09,1426,,0,2,9,5,1134.6191058301504
2012-05-10,1393,,0,3,10,5,1155.4862872125516
2012-05-11,1455,,0,4,11,5,1153.496856760371
2012-05-12,230,,0,5,12,5,284.4412700222254
2012-05-13,1,,0,6,13,5,0.9242012629385048
2012-05-14,1055,,0,0,14,5,809.2614882869168
2012-05-15,1276,,0,1,15,5,979.7786483801096
2012-05-16,1314,,0,2,16,5,1098.5004649309121
2012-05-17,1388,,0,3,17,5,1126.0347967443417
2012-05-18,1282,,0,4,18,5,1131.444646592014
2012-05-19,437,,0,5,19,5,310.05810950199117
2012-05-20,15,,0,6,20,5,5.417529878479368
2012-05-21,0,Ascensión de Jesús,1,0,21,5,0.0
2012-05-22,940,,0,1,22,5,962.034100826124
2012-05-23,1045,,0,2,23,5,1095.7319823816856
2012-05-24,1198,,0,3,24,5,1150.0748005006085
2012-05-25,1338,,0,4,25,5,1176.2916648305243
2012-05-26,436,,0,5,26,5,379.4584422026222
2012-05-27,0,,0,6,27,5,0.7852236427883151
2012-05-28,894,,0,0,28,5,958.4238686867542
2012-05-29,1146,,0,1,29,5,1223.8455479401327
2012-05-30,1283,,0,2,30,5,1602.3306670249626
2012-05-31,1256,,0,3,31,5,1601.7011300994886
2012-06-01,1222,,0,4,1,6,880.5451818161351
2012-06-02,323,,0,5,2,6,252.97558201058195
2012-06-03,1,,0,6,3,6,1.596793843844241
2012-06-04,953,,0,0,4,6,718.1678754273105
2012-06-05,1156,,0,1,5,6,843.4506670326726
2012-06-06,1404,,0,2,6,6,1080.873735466044
2012-06-07,1453,,0,3,7,6,1121.1325669665364
2012-06-08,1460,,0,4,8,6,1139.1967448487064
2012-06-09,471,,0,5,9,6,351.842560962468
2012-06-10,0,,0,6,10,6,0.5831791732093778
2012-06-11,0,Corpus Christi,1,0,11,6,0.013333333333333334
2012-06-12,919,,0,1,12,6,1003.9008557937387
2012-06-13,1206,,0,2,13,6,1131.031805733738
2012-06-14,1390,,0,3,14,6,1143.1384119974662
2012-06-15,1337,,0,4,15,6,1133.5012368241303
2012-06-16,348,,0,5,16,6,314.72664320835094
2012-06-17,30,,0,6,17,6,1.379173934319517
2012-06-18,0,Sagrado Corazón de Jesús,1,0,18,6,0.0
2012-06-19,987,,0,1,19,6,944.1188427812383
2012-06-20,1116,,0,2,20,6,1093.5396728298408
2012-06-21,1300,,0,3,21,6,1120.933873501236
2012-06-22,1330,,0,4,22,6,1127.1589274741439
2012-06-23,352,,0,5,23,6,320.2143749650533
2012-06-24,7,,0,6,24,6,2.927921697522962
2012-06-25,541,,0,0,25,6,762.2184636045807
2012-06-26,625,,0,1,26,6,996.896617859589
2012-06-27,1493,,0,2,27,6,1323.6962264057183
2012-06-28,1510,,0,3,28,6,1426.3055858904806
2012-06-29,1396,,0,4,29,6,1594.4469673520468
2012-06-30,361,,0,5,30,6,539.417706959707
2012-07-01,1,,0,6,1,7,1.0002515158766938
2012-07-02,2,San Pedro y San Pablo,1,0,2,7,1.123777777777778
2012-07-03,853,,0,1,3,7,642.7479311974744
2012-07-04,1267,,0,2,4,7,1033.541778889357
2012-07-05,1250,,0,3,5,7,1082.5224750563575
2012-07-06,1416,,0,4,6,7,1111.6966534673995
2012-07-07,619,,0,5,7,7,303.14422701377447
2012-07-08,1,,0,6,8,7,1.5116383891693939
2012-07-09,978,,0,0,9,7,827.6035894855606
2012-07-10,1246,,0,1,10,7,1017.2825285553095
2012-07-11,1271,,0,2,11,7,1135.9351807178718
2012-07-12,1242,,0,3,12,7,1146.1273172635083
2012-07-13,1510,,0,4,13,7,1151.036793931168
2012-07-14,390,,0,5,14,7,325.6992274438783
2012-07-15,0,,0,6,15,7,1.2425972530226395
2012-07-16,831,,0,0,16,7,811.4264421268897
2012-07-17,1105,,0,1,17,7,956.9171027237451
2012-07-18,1181,,0,2,18,7,1095.2869831264509
